year,quarter,region_ar,city_ar,Category,total_deals,average
2024,1,المنطقة الشرقية,الخبر,فيلا - سكني,1060,78551.32972
2024,1,المنطقة الشرقية,الدمام,فيلا - سكني,726,56417.74267
2024,1,المنطقة الشرقية,الخبر,محل - تجاري,2757,605.499645
2024,1,المنطقة الشرقية,الدمام,محل - تجاري,5215,706.93425
2024,1,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,665,705.230518
2024,1,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,1071,787.210233
2024,1,المنطقة الشرقية,الخبر,مكتب - تجاري,1339,467.714464
2024,1,المنطقة الشرقية,الدمام,مكتب - تجاري,1503,335.194272
2024,2,المنطقة الشرقية,الخبر,استديو - سكني,1986,13516.86151
2024,2,المنطقة الشرقية,الدمام,استديو - سكني,3370,12089.08301
2024,2,المنطقة الشرقية,الخبر,دوبلاكس - سكني,172,48322.96154
2024,2,المنطقة الشرقية,الدمام,دوبلاكس - سكني,246,44230.66667
2024,2,المنطقة الشرقية,الخبر,دور - سكني,207,27657.42138
2024,2,المنطقة الشرقية,الدمام,دور - سكني,498,27902.38902
2024,2,المنطقة الشرقية,الخبر,شقة - سكني,18340,20349.35762
2024,2,المنطقة الشرقية,الدمام,شقة - سكني,30689,17904.94913
2024,2,المنطقة الشرقية,الخبر,فيلا - سكني,1072,88365.02174
2024,2,المنطقة الشرقية,الدمام,فيلا - سكني,679,57323.71626
2024,2,المنطقة الشرقية,الخبر,محل - تجاري,2154,637.759994
2024,2,المنطقة الشرقية,الدمام,محل - تجاري,5924,1046.501125
2024,2,المنطقة الشرقية,الخبر,معرض تجاري - تجاري,576,812.815468
2024,2,المنطقة الشرقية,الدمام,معرض تجاري - تجاري,848,765.958499
2024,2,المنطقة الشرقية,الخبر,مكتب - تجاري,1155,464.605367
2024,2,المنطقة الشرقية,الدمام,مكتب - تجاري,1177,354.572884
2024,3,المنطقة الشرقية,الخبر,استديو - سكني,1794,14750.03894
2024,3,المنطقة الشرقية,الدمام,استديو - سكني,3928,12326.28634
2024,3,المنطقة الشرقية,الخبر,دوبلاكس - سكني,149,45326.98529
2024,3,المنطقة الشرقية,الدمام,دوبلاكس - سكني,317,38182.20495
2024,3,المنطقة الشرقية,الخبر,دور - سكني,279,28912.33333
2024,3,المنطقة الشرقية,الدمام,دور - سكني,567,27334.47722
2024,3,المنطقة الشرقية,الخبر,شقة - سكني,20219,20968.79411
2024,3,المنطقة الشرقية,الدمام,شقة - سكني,37667,18198.26444
2024,3,المنطقة الشرقية,الخبر,فيلا - سكني,1363,87932.61815
2024,3,المنطقة الشرقية,الدمام,فيلا - سكني,810,57485.63022
2024,3,المنطقة الشرقية,الخبر,محل - تجاري,2410,637.354627
2024,3,المنطقة الشرقية,الدمام,محل - تجاري,5112,707.32443
