السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الرياض,الرياض,الفيصلية/الدرعية,مكتب,تجاري,13,0,0
2026,1,الرياض,الرياض,البليدا,محل,تجاري,4,0,0
2026,1,الرياض,المجمعة,الإسكان,شقة,سكني,20,19720,137.77
2026,1,الرياض,حوطه بنى تميم,زياد,دور,سكني,1,5000,33.33
2026,1,الرياض,القصب,النزهة,دور,سكني,1,12000,54.54
2026,1,الرياض,الرياض,منفوحة,معرض تجاري,تجاري,111,0,0
2026,1,الرياض,الرياض,ثليم,محل,تجاري,441,0,0
2026,1,الرياض,حريملاء,النهضة,مكتب,تجاري,2,0,0
2026,1,الرياض,الرياض,سلطانة,دور,سكني,87,27817.76,132.27
2026,1,الرياض,ضرما,المعارض,شقة,سكني,2,15500,93.79
2026,1,الرياض,المجمعة,الفيحاء,استديو,سكني,34,15418.18,360.26
2026,1,الرياض,الرياض,الوزارات,استديو,سكني,25,15333.33,443.31
2026,1,الرياض,حوطه سدير,الشبيلية2,استديو,سكني,1,9000,100
2026,1,الرياض,عفيف,السليمانية,استديو,سكني,1,12000,100
2026,1,الرياض,القويعية - الخيس,الخيس,شقة,سكني,1,18000,116.12
2026,1,الرياض,الخرج,السيح,مكتب,تجاري,1,0,0
2026,1,الرياض,القويعية - الرويضة,السليمانية,محل,تجاري,1,0,0
2026,1,الرياض,الرياض,النفل,معرض تجاري,تجاري,19,0,0
2026,1,الرياض,حله جريس,حله جريس,شقة,سكني,2,6000,40
2026,1,الرياض,شقراء,الروضة,محل,تجاري,52,0,0
2026,1,الرياض,الخرج,مشرف,محل,تجاري,127,0,0
2026,1,الرياض,القويعية,المروج,شقة,سكني,26,13968.42,98.75
2026,1,الرياض,الخرج,السلمية,شقة,سكني,7,14071.42,97.12
2026,1,الرياض,المزاحمية,الحزم,دور,سكني,2,15000,120
2026,1,الرياض,الرياض,ديراب,استديو,سكني,5,8700,199.5
2026,1,الرياض,الخرج,العالية,دور,سكني,4,16750,59.87
2026,1,الرياض,سديرى بن حقان الوسطى,سديرى بن حقان الوسطى,شقة,سكني,3,18000,118.7
2026,1,الرياض,الخرج,اليرموك,مكتب,تجاري,1,0,0
2026,1,الرياض,ضرما,جو,دور,سكني,3,13333.33,84.87
2026,1,الرياض,ضرما,الريان,استديو,سكني,1,11400,228
2026,1,الرياض,الخرج,المدينة الصناعية بالخرج,محل,تجاري,7,0,0
2026,1,الرياض,الخرج,السهباء,استديو,سكني,10,10200,298.41
2026,1,الرياض,حريملاء,القرينة الجديدة,محل,تجاري,1,0,0
2026,1,الرياض,الرياض,القادسية,دوبلاكس,سكني,4,51000,255.22
2026,1,الرياض,الجبيلة,الوادي,شقة,سكني,2,20900,170.25
2026,1,الرياض,الرياض,العقيق,شقة,سكني,2358,44800.82,399.21
2026,1,الرياض,الزلفي,الخزامى,معرض تجاري,تجاري,1,0,0
2026,1,الرياض,الرياض,المدينة الصناعية الجديدة,فيلا,سكني,8,93000,155
2026,1,الرياض,الأفلاج,الجفيدرية,شقة,سكني,2,8250,68.12
2026,1,الرياض,الرياض,الحمراء,مكتب,تجاري,107,0,0
2026,1,الرياض,الصالحيه,الصالحيه,شقة,سكني,1,12000,120
2026,1,الرياض,عفيف,فيضه عفيف,دور,سكني,1,10000,66.66
2026,1,الرياض,المجمعة - تمير,العزيزية,شقة,سكني,28,14050,112.03
2026,1,الرياض,الرياض,الغدير,دوبلاكس,سكني,1,100000,581.09
2026,1,الرياض,مخطط الصفرات الجديد,مخطط الصفرات الجديد,شقة,سكني,2,10175,93.41
2026,1,الرياض,رماح,النخيل,فيلا,سكني,7,26666.66,43.71
2026,1,الرياض,رماح,حي مخطط  الاراضي الحكوميه,دور,سكني,2,22800,65.14
2026,1,الرياض,السليل,الديرة,فيلا,سكني,1,15000,83.33
2026,1,الرياض,الرياض,الملك فيصل,فيلا,سكني,16,66781.81,168.49
2026,1,الرياض,الرياض,النظيم,محل,تجاري,507,0,0
2026,1,الرياض,الخرج,النهضة,فيلا,سكني,12,30200,81.01
2026,1,الرياض,الرياض,السلام,دوبلاكس,سكني,3,50133.33,238.53
2026,1,الرياض,ثادق,اليرموك,شقة,سكني,4,8500,77.07
2026,1,الرياض,المزاحمية,الغطغط,شقة,سكني,7,34000,305.54
2026,1,الرياض,القصب,الخالدية,محل,تجاري,2,0,0
2026,1,الرياض,ثادق,العزيزية,محل,تجاري,3,0,0
2026,1,الرياض,الخرج,مناطق خاصة,دور,سكني,2,20500,101.19
2026,1,الرياض,حريملاء,الديرة,شقة,سكني,8,10750,97.5
2026,1,الرياض,الرياض,الإزدهار,محل,تجاري,82,0,0
2026,1,الرياض,الرياض,النسيم الغربي,فيلا,سكني,58,53943.39,133.57
2026,1,الرياض,الرياض,الوادي,دوبلاكس,سكني,4,56250,237.57
2026,1,الرياض,الهياثم,مشرفة,محل,تجاري,2,0,0
